study_id,text,gpt_response
34664,"The Korean General Social Survey (KGSS) is the South Korean version of the General Social Survey (GSS), closely replicating the original GSS of the National Opinion Research Center at the University of Chicago. Each round of the KGSS typically includes the topical module surveys of the International Social Survey Programme (ISSP), and/or the East Asian Social Survey (EASS), an international survey network of four GSS-type surveys from countries in East Asia (including China, Japan, Taiwan, and South Korea). Respondents were asked for their opinions on Korean society, trust in people and institutions, politics and reunification, economic issues, social issues, and religion. Additional questions were asked about the everyday life, household, family, education, occupation, and social life of the respondents. Demographic information includes age, sex, education level, household income, employment status, religious preference, political party affiliation, and political philosophy.","['korean society', 'social survey', 'public opinion', 'trust levels', 'political views', 'economic perspectives', 'social issues', 'demographic data', 'everyday life', 'east asian research']"
8310,"This data collection provides information on the characteristics of the housing inventory in 12 Standard Metropolitan Statistical Areas (SMSAs). Data include year the structure was built, type and number of living quarters, occupancy status, presence of commercial establishments on the property, presence of a garage, and property value. Additional data focus on kitchen and plumbing facilities, type of heating fuel used, source of water, sewage disposal, and heating and air conditioning equipment. Information about housing expenses includes mortgage or rent payments, utility costs, garbage collection fees, property insurance, and real estate taxes as well as repairs, additions, or alterations to the property. Similar data are provided for housing units previously occupied by respondents who had recently moved. Indicators of housing and neighborhood quality are also supplied. Housing quality variables include privacy of bedrooms, condition of kitchen facilities, basement or roof leakage, presence of cracks or holes in walls, ceilings, or floor, reliability of plumbing and heating equipment, and concealed electrical wiring. The presence of storm doors and windows and insulation was also noted. Neighborhood quality variables indicate presence of and objection to street noise, odors, crime, litter, and rundown and abandoned structures, as well as the adequacy of street lighting, public transportation, public parks, schools, shopping facilities, and police and fire protection. Extensive information on the ability of handicapped persons to move around their homes is also provided. Respondents were asked if they needed special equipment, or the help of another person to move around. They were also asked about the presence or need for housing features to aid their movement, such as ramps, braille lettering, elevators, and extra wide doors. In addition to housing characteristics, demographic data for household members are provided, including sex, age, race, income, marital status, and household relationship. Additional data are available for the household head, including Hispanic origin, length of residence, and travel-to-work information.","['housing inventory characteristics', 'metropolitan statistical areas', 'occupancy status', 'property value', 'housing expenses', 'housing quality indicators', 'neighborhood quality', 'handicapped accessibility', 'demographic data', 'travel-to-work information.']"
23023,"This poll, fielded March 26-27, 2007, is a part of a continuing series
of monthly surveys that solicits public opinion on the presidency and on
a range of other political and social issues. This poll oversampled people who were likely to vote in the Democratic presidential primaries. All respondents were asked to say whether they approved of the way George W. Bush was
handling his job as president, whether they had been paying attention to the 2008 presidential campaign, to give their opinions of potential 2008 presidential candidates, and who they would most like to see nominated in the race for the Democratic party's presidential nomination. Opinions were solicited on Elizabeth Edwards, the wife of Democratic presidential candidate John Edwards,
and whether respondents had been paying attention to the news about her cancer reoccurrence, as well as whether John Edwards' presidential campaign would be affected by his wife's medical condition. Additional topics include breast cancer, firings of United States attorneys by the Justice Department
and Attorney General Alberto Gonzales, withdrawing the troops from Iraq, and whether Iran was a threat to the United States. Demographic information includes sex, age, race, education level, marital status, frequency of religious attendance, type of residential area (e.g., urban or rural), political party affiliation, political philosophy, voter registration status, and the presence of children under 18 and household members between the ages of 18 and 24.","['public opinion', 'presidential approval', 'election campaign', 'democratic primaries', 'potential candidates', 'health issues', 'legal controversy', 'military policy', 'international relations', 'demographic data']"
36593,"<p>These data are part of NACJD's Fast Track Release and are distributed as they were received from the data depositor. The files have been zipped by NACJD for release, but not checked or processed except for the removal of direct identifiers. Users should refer to the accompanying readme file for a brief description of the files available with this collection and consult the investigator(s) if further information is needed.</p>
<p>This study examined the extent to which contextual factors influenced variation in sex offender sentencing decisions.</p>
<p>By law, Pennsylvania trial courts were required to submit all felony and misdemeanor convictions under the Pennsylvania Sentencing Guidelines to the Pennsylvania Commission on Sentencing on a yearly basis.</p>
<p>These data were supplemented with county-level data from the American Community Survey, Administrative Office of Pennsylvania Courts' Annual Caseload Statistics of the Unified Judicial System of Pennsylvania, Associated Religion Data Archives, and Pennsylvania Department of State, Voter Registration Statistics Archives.</p>
<p>The collection contains 1 SPSS data file (Cleaned-Data-2015-R2-CX-0039.sav (n=318048; 31 variables)).</p>
<p>Demographic variables include gender, race, and defendant's age at sentencing.</p>","['nacjd fast track', 'data depositor', 'direct identifiers', 'readme file', 'sex offender sentencing', 'pennsylvania sentencing guidelines', 'american community survey', 'administrative office', 'judicial system', 'demographic variables.']"
36670,"<p>The Eurobarometer series is a unique cross-national and cross-temporal survey program conducted on behalf of the European Commission. These surveys regularly monitor public opinion in the European Union (EU) member countries and consist of standard modules and special topic modules. The standard modules address attitudes towards European unification, institutions and policies, measurements for general socio-political orientations, as well as respondent and household demographics. The special topic modules address such topics as agriculture, education, natural environment and resources, public health, public safety and crime, and science and technology.</p>
<p>This round of Eurobarometer surveys covers the following special topics:(1) Europe 2020, (2) European Economy (3) European Citizenship and (4) Information behaviour and Assessment of Media Presentation with Regard to European Political Matters. Respondents' opinions were collected regarding life satisfaction, the standard of living, politics, trust, self-esteem, employment, and safety. Respondents were also questioned about the economic crisis, economic expectations, public debt, the media, and education. Additional questions were asked regarding EU policies, national and European identity, media usage, sources of information, participation in the EU, EU membership, and democracy.</p>
<p>Demographic and other background information collected includes age, gender, nationality, marital status, occupation, age when stopped full-time education, household composition, ownership of a fixed or mobile telephone and other goods, difficulties in paying bills, level in society, and Internet use. In addition, country-specific data includes type and size of locality, region of residence, and language of interview (select countries).</p>","['eurobarometer surveys', 'public opinion', 'european union', 'standard modules', 'special topics', 'demographic information', 'socio-political orientations', 'european policies', 'media assessment', 'economic expectations']"
34603,"The National Incident-Based Reporting System (NIBRS) is a
part of the Uniform Crime Reporting Program (UCR), administered by the
Federal Bureau of Investigation (FBI). The extract files version of
NIBRS was created to simplify working with NIBRS data. Data management
issues with NIBRS are significant, especially when two or more segment
levels are being merged. These issues require skills separate from
data analysis. NIBRS data as formatted by the FBI are stored in a
single file. These data are organized by various segment levels
(record types). There are six main segment levels: administrative,
offense, property, victim, offender, and arrestee. Each segment level
has a different length and layout. There are other segment levels that
occur with less frequency than the six main levels. Significant
computing resources are necessary to work with the data in its
single-file format. In addition, the user must be sophisticated in
working with data in complex file types. For these reasons and the
desire to facilitate the use of NIBRS data, ICPSR created the extract
files. The data are not a representative sample of crime in the United
States.","['nibrs', 'ucr program', 'fbi administration', 'data management', 'segment levels', 'data analysis', 'computing resources', 'complex file types', 'icpsr extract', 'crime data']"
25424,"This collection contains information on federal criminal cases sentenced under the Sentencing Guidelines and Policy Statements of the Sentencing Reform Act of 1984. The data files include all cases received by the United States Sentencing Commission that had sentencing dates between October 1, 2007, and September 30, 2008, and were assessed as constitutional. Constitutionality compares each case's sentencing date, circuit, district, and judge to provide uniformity in reporting the cases. In 1999, the United States Sentencing Commission added more variables from its databases to this collection, so the data are now provided in two files. Several variables iterate to include multiple occurrences of the same event. Part 1, Main Data, includes all noniterating variables plus the highest occurrences of each iterating variable. Part 2, Supplementary Data, includes the remaining iterations.","['sentencing guidelines', 'federal criminal cases', 'sentencing reform act', 'united states sentencing commission', 'sentencing data', 'constitutional assessment', 'data variables', 'main data', 'supplementary data', 'iterating variables']"
3614,"This data collection is one in a series of financial
 surveys of consumers conducted annually since 1946. In a nationally
 representative sample, the head of each spending unit (usually the
 husband, the main earner, or the owner of the home) was interviewed.
 The basic unit of reference in the study was the spending unit, but
 some family data are also available. The questions in the 1956 survey
 covered the respondent's attitudes toward national economic conditions
 and price activity, as well as the respondent's own financial
 situation. Other questions examined the spending unit head's
 occupation, and the nature and amount of the spending unit's income,
 debts, liquid assets, changes in liquid assets, savings, investment
 preferences, and actual and expected purchases of cars and other major
 durables. The survey also elicited respondent's attitudes about
 different methods of using income remaining after expenses were met,
 e.g., investing in stocks or putting money in savings. In addition,
 the survey explored in detail the subject of housing, e.g., previous
 and present home ownership, value of respondent's dwelling, and
 mortgage information.  Other questions inquired into the part-time and
 full-time employment status of the spouse and other earners who were
 not the head. Questions about consumer debt covered its purpose and
 source. Personal data include number of people in the spending unit,
 age, sex, and education of the head, and the race and sex of the
respondent.","['financial surveys', 'consumer attitudes', 'economic conditions', 'financial situation', 'income analysis', 'debt management', 'savings behavior', 'investment preferences', 'housing information', 'employment status']"
1109,"This study is a reanalysis of Ian Budge and Richard 
 Hofferbert's 1990 APSR article. The authors successfully replicate the 
 original analysis, critique the interpretation of the causal effects, 
 estimate a model that loosens a key assumption, and find that party 
 platforms have small or nonexistent effects on government spending. The 
 replication dataset includes Budge and Hofferbert's data that measure 
 the relative frequency of many different issue areas mentioned in each 
 party platform, as well as the spending figures in corresponding areas 
 of the federal budget. Also included are programs to replicate Table 1 
and Figure 1 in the article.","['study reanalysis', 'ian budge', 'richard hofferbert', 'apsr article', 'original analysis', 'causal effects', 'model estimation', 'party platforms', 'government spending', 'replication dataset']"
36653,"<p>
The Police-Public Contact Survey (PPCS) provides detailed information on the nature and
characteristics of face-to-face contacts between police and the public, including the reason for and
outcome of the contact and the respondent's satisfaction with the contact. The data can be used to
estimate the likelihood of different types of contact for residents with different demographic
characteristics, including contacts involving the use of nonfatal force by police. The PPCS
is used to collect data from a nationally representative sample of U.S. residents age 16
or older as a supplement to the National Crime Victimization Survey. To date, the PPCS has been
conducted seven times by BJS:
</p>
<p>1. 1996. Described in the BJS publication Police Use of Force: Collection of National Data
(NCJ 165040).</p>
<p>2. 1999. Described in Contacts between Police and the Public: Findings from the
1999 National Survey (NCJ 184957). These data are archived as POLICE-PUBLIC CONTACT SURVEY, 1999:
[UNITED STATES] (ICPSR 3151).</p>
<p>3. 2002. Described in Contacts between Police and the Public: Findings from the
2002 National Survey (NCJ 207845). These data are archived as POLICE-PUBLIC CONTACT SURVEY, 2002: [UNITED STATES]
(ICPSR 4273). </p>
<p>4. 2005. Described in the BJS publication Contacts between
Police and the Public, 2005 (NCJ 215243). These data are archived as POLICE-PUBLIC CONTACT SURVEY, 2005: [UNITED
STATES] (ICPSR 020020).</p>
<p>5. 2008. Described in the BJS publication Contacts between Police and the
Public, 2008 (NCJ 234599). These data are archived as POLICE-PUBLIC CONTACT SURVEY, 2008 (ICPSR 32022).</p>
<p>6. 2011. Split sample design due to instrument changes. New instrument findings described in
two publications: Police Behavior During Traffic and Street Stops, 2011 (NCJ 242937) and Requests for Police Assistance, 2011 (NCJ 242938).
These data are archived as POLICE-PUBLIC CONTACT SURVEY, 2011 (ICPSR 34276).</p>
<p>7. 2015. Described in the BJS publication Contacts between Police and Public, 2015 (NCJ 251145). These data are archived as
POLICE-PUBLIC CONTACT SURVEY, 2015 (ICPSR 36653).</p>","['police-public interaction', 'survey data', 'national sample', 'demographic characteristics', 'use of force', 'contact satisfaction', 'bjs publications', 'data archiving', 'icpsr reference', 'split sample design']"
